"rules","support","confidence","coverage","lift","count"
"{chocolate,olive oil} => {spaghetti}",0.00706572457005733,0.430894308943089,0.01639781362485,2.47483783413638,53
"{olive oil,spaghetti} => {chocolate}",0.00706572457005733,0.308139534883721,0.0229302759632049,1.8806791303196,53
"{chocolate,olive oil} => {mineral water}",0.00826556459138782,0.504065040650406,0.01639781362485,2.11464869682254,62
"{mineral water,olive oil} => {chocolate}",0.00826556459138782,0.29951690821256,0.0275963204906013,1.82805234215005,62
"{olive oil,spaghetti} => {mineral water}",0.010265297960272,0.447674418604651,0.0229302759632049,1.87807931429166,77
"{mineral water,olive oil} => {spaghetti}",0.010265297960272,0.371980676328502,0.0275963204906013,2.13646788142427,77
"{frozen vegetables,shrimp} => {mineral water}",0.00719904012798294,0.432,0.0166644447407012,1.81232214765101,54
"{mineral water,shrimp} => {frozen vegetables}",0.00719904012798294,0.305084745762712,0.023596853752833,3.20061633281972,54
"{milk,shrimp} => {mineral water}",0.00786561791761099,0.446969696969697,0.0175976536461805,1.87512287302556,59
"{mineral water,shrimp} => {milk}",0.00786561791761099,0.333333333333333,0.023596853752833,2.57235939643347,59
"{chocolate,shrimp} => {spaghetti}",0.00639914678042928,0.355555555555556,0.0179976003199573,2.04213033860813,48
"{shrimp,spaghetti} => {chocolate}",0.00639914678042928,0.30188679245283,0.021197173710172,1.84251654205751,48
"{chocolate,shrimp} => {mineral water}",0.00759898680175977,0.422222222222222,0.0179976003199573,1.77130251056426,57
"{mineral water,shrimp} => {chocolate}",0.00759898680175977,0.322033898305085,0.023596853752833,1.9654810994194,57
"{shrimp,spaghetti} => {mineral water}",0.00853219570723903,0.40251572327044,0.021197173710172,1.6886300001407,64
"{mineral water,shrimp} => {spaghetti}",0.00853219570723903,0.361581920903955,0.023596853752833,2.07674271722861,64
"{cake,milk} => {mineral water}",0.00639914678042928,0.48,0.013331555792561,2.01369127516779,48
"{cake,french fries} => {mineral water}",0.00639914678042928,0.358208955223881,0.0178642847620317,1.50275468296103,48
"{cake,eggs} => {mineral water}",0.00719904012798294,0.377622377622378,0.0190641247833622,1.58419768151312,54
"{cake,mineral water} => {eggs}",0.00719904012798294,0.262135922330097,0.0274630049326756,1.45866584079975,54
"{cake,spaghetti} => {mineral water}",0.00706572457005733,0.389705882352941,0.0181309158778829,1.634890281616,53
"{cake,mineral water} => {spaghetti}",0.00706572457005733,0.257281553398058,0.0274630049326756,1.47769443494551,53
"{burgers,milk} => {spaghetti}",0.00639914678042928,0.358208955223881,0.0178642847620317,2.05737011725446,48
"{burgers,spaghetti} => {milk}",0.00639914678042928,0.298136645962733,0.0214638048260232,2.30074380799018,48
"{burgers,milk} => {mineral water}",0.00693240901213172,0.388059701492537,0.0178642847620317,1.62798423987445,52
"{burgers,mineral water} => {milk}",0.00693240901213172,0.284153005464481,0.0243967471003866,2.19283096089411,52
"{burgers,french fries} => {eggs}",0.00906545793894147,0.412121212121212,0.0219970670577256,2.2932649941552,68
"{burgers,eggs} => {french fries}",0.00906545793894147,0.314814814814815,0.0287961605119317,1.84198590165829,68
"{burgers,chocolate} => {spaghetti}",0.00639914678042928,0.375,0.0170643914144781,2.15380934150077,48
"{burgers,spaghetti} => {chocolate}",0.00639914678042928,0.298136645962733,0.0214638048260232,1.81962813780835,48
"{burgers,eggs} => {spaghetti}",0.00719904012798294,0.25,0.0287961605119317,1.43587289433384,54
"{burgers,spaghetti} => {eggs}",0.00719904012798294,0.335403726708075,0.0214638048260232,1.86636747332141,54
"{burgers,eggs} => {mineral water}",0.00786561791761099,0.273148148148148,0.0287961605119317,1.14590842240451,59
"{burgers,mineral water} => {eggs}",0.00786561791761099,0.322404371584699,0.0243967471003866,1.79403204099171,59
"{burgers,spaghetti} => {mineral water}",0.00653246233835489,0.304347826086957,0.0214638048260232,1.27679700418247,49
"{burgers,mineral water} => {spaghetti}",0.00653246233835489,0.26775956284153,0.0243967471003866,1.53787479393133,49
"{frozen vegetables,pancakes} => {mineral water}",0.00613251566457806,0.455445544554455,0.0134648713504866,1.91068066538197,46
"{ground beef,pancakes} => {spaghetti}",0.00639914678042928,0.440366972477064,0.0145313958138915,2.5292439973587,48
"{pancakes,spaghetti} => {ground beef}",0.00639914678042928,0.253968253968254,0.0251966404479403,2.58482479378002,48
"{ground beef,pancakes} => {mineral water}",0.00746567124383416,0.513761467889908,0.0145313958138915,2.15532705293188,56
"{milk,pancakes} => {mineral water}",0.00786561791761099,0.475806451612903,0.0165311291827756,1.99609854225301,59
"{french fries,pancakes} => {mineral water}",0.00653246233835489,0.324503311258278,0.0201306492467671,1.36135309717469,49
"{chocolate,pancakes} => {spaghetti}",0.00679909345420611,0.342281879194631,0.0198640181309159,1.96589309022889,51
"{pancakes,spaghetti} => {chocolate}",0.00679909345420611,0.26984126984127,0.0251966404479403,1.64693194880339,51
"{chocolate,pancakes} => {mineral water}",0.00933208905479269,0.469798657718121,0.0198640181309159,1.97089470444274,70
"{mineral water,pancakes} => {chocolate}",0.00933208905479269,0.276679841897233,0.0337288361551793,1.68867005213275,70
"{eggs,pancakes} => {spaghetti}",0.0066657778962805,0.306748466257669,0.0217304359418744,1.76180723231146,50
"{pancakes,spaghetti} => {eggs}",0.0066657778962805,0.264550264550265,0.0251966404479403,1.47210054480084,50
"{eggs,pancakes} => {mineral water}",0.00786561791761099,0.361963190184049,0.0217304359418744,1.51850441251149,59
"{pancakes,spaghetti} => {mineral water}",0.0114651379816025,0.455026455026455,0.0251966404479403,1.90892250511937,86
"{mineral water,pancakes} => {spaghetti}",0.0114651379816025,0.339920948616601,0.0337288361551793,1.9523331053393,86
"{frozen vegetables,ground beef} => {spaghetti}",0.00866551126516464,0.511811023622047,0.0169310758565525,2.93958230336063,65
"{frozen vegetables,spaghetti} => {ground beef}",0.00866551126516464,0.311004784688995,0.0278629516064525,3.1653282088903,65
"{frozen vegetables,ground beef} => {mineral water}",0.00919877349686708,0.543307086614173,0.0169310758565525,2.27927654177456,69
"{frozen vegetables,mineral water} => {ground beef}",0.00919877349686708,0.257462686567164,0.0357285695240635,2.62039024686608,69
"{frozen vegetables,milk} => {chocolate}",0.0079989334755366,0.338983050847458,0.023596853752833,2.06892747307305,60
"{chocolate,frozen vegetables} => {milk}",0.0079989334755366,0.348837209302326,0.0229302759632049,2.6920040195234,60
"{frozen vegetables,milk} => {eggs}",0.00733235568590855,0.310734463276836,0.023596853752833,1.7290943687237,55
"{eggs,frozen vegetables} => {milk}",0.00733235568590855,0.337423312883436,0.0217304359418744,2.60392208841425,55
"{frozen vegetables,milk} => {spaghetti}",0.00826556459138782,0.350282485875706,0.023596853752833,2.01184450731522,62
"{frozen vegetables,spaghetti} => {milk}",0.00826556459138782,0.296650717703349,0.0278629516064525,2.28927678342883,62
"{frozen vegetables,milk} => {mineral water}",0.0110651913078256,0.468926553672316,0.023596853752833,1.96723606213425,83
"{frozen vegetables,mineral water} => {milk}",0.0110651913078256,0.309701492537313,0.0357285695240635,2.38999063325349,83
"{french fries,frozen vegetables} => {mineral water}",0.00613251566457806,0.321678321678322,0.0190641247833622,1.34950172869636,46
"{chocolate,frozen vegetables} => {spaghetti}",0.00786561791761099,0.343023255813953,0.0229302759632049,1.9701511805976,59
"{frozen vegetables,spaghetti} => {chocolate}",0.00786561791761099,0.282296650717703,0.0278629516064525,1.72295132386777,59
"{chocolate,frozen vegetables} => {mineral water}",0.00973203572856952,0.424418604651163,0.0229302759632049,1.78051675251028,73
"{frozen vegetables,mineral water} => {chocolate}",0.00973203572856952,0.272388059701493,0.0357285695240635,1.66247586315777,73
"{eggs,frozen vegetables} => {mineral water}",0.00906545793894147,0.417177914110429,0.0217304359418744,1.75014067882681,68
"{frozen vegetables,mineral water} => {eggs}",0.00906545793894147,0.253731343283582,0.0357285695240635,1.41189822401346,68
"{frozen vegetables,spaghetti} => {mineral water}",0.0119984002133049,0.430622009569378,0.0278629516064525,1.80654121576057,90
"{frozen vegetables,mineral water} => {spaghetti}",0.0119984002133049,0.335820895522388,0.0357285695240635,1.92878448492606,90
"{green tea,ground beef} => {spaghetti}",0.00639914678042928,0.432432432432432,0.0147980269297427,2.48367203344232,48
"{ground beef,milk} => {chocolate}",0.00613251566457806,0.278787878787879,0.0219970670577256,1.70153610967281,46
"{chocolate,ground beef} => {milk}",0.00613251566457806,0.265895953757225,0.0230635915211305,2.05193986536311,46
"{ground beef,milk} => {spaghetti}",0.00973203572856952,0.442424242424242,0.0219970670577256,2.54105990997262,73
"{milk,spaghetti} => {ground beef}",0.00973203572856952,0.274436090225564,0.0354619384082122,2.79314126564716,73
"{ground beef,milk} => {mineral water}",0.0110651913078256,0.503030303030303,0.0219970670577256,2.11030777574402,83
"{ground beef,mineral water} => {milk}",0.0110651913078256,0.270358306188925,0.0409278762831622,2.08637618798676,83
"{chocolate,ground beef} => {eggs}",0.00653246233835489,0.283236994219653,0.0230635915211305,1.57608360062435,49
"{eggs,ground beef} => {chocolate}",0.00653246233835489,0.326666666666667,0.0199973336888415,1.9937564415514,49
"{chocolate,ground beef} => {spaghetti}",0.00919877349686708,0.398843930635838,0.0230635915211305,2.29075675627827,69
"{chocolate,ground beef} => {mineral water}",0.0109318757499,0.473988439306358,0.0230635915211305,1.98847163492002,82
"{ground beef,mineral water} => {chocolate}",0.0109318757499,0.267100977198697,0.0409278762831622,1.63020702194258,82
"{eggs,ground beef} => {spaghetti}",0.00893214238101587,0.446666666666667,0.0199973336888415,2.56542623787647,67
"{eggs,ground beef} => {mineral water}",0.0101319824023464,0.506666666666667,0.0199973336888415,2.12556301267711,76
"{ground beef,spaghetti} => {mineral water}",0.0170643914144781,0.435374149659864,0.0391947740301293,1.82647734709096,128
"{ground beef,mineral water} => {spaghetti}",0.0170643914144781,0.416938110749186,0.0409278762831622,2.39468052735807,128
"{mineral water,spaghetti} => {ground beef}",0.0170643914144781,0.285714285714286,0.0597253699506732,2.90792789300252,128
"{eggs,green tea} => {french fries}",0.00706572457005733,0.277486910994764,0.0254632715637915,1.62357981230244,53
"{chocolate,green tea} => {spaghetti}",0.00706572457005733,0.301136363636364,0.0234635381949073,1.72957416817486,53
"{green tea,spaghetti} => {chocolate}",0.00706572457005733,0.266331658291457,0.0265297960271964,1.62551161012548,53
"{chocolate,green tea} => {mineral water}",0.00693240901213172,0.295454545454545,0.0234635381949073,1.2394880008135,52
"{eggs,green tea} => {mineral water}",0.00693240901213172,0.272251308900524,0.0254632715637915,1.14214601122082,52
"{green tea,spaghetti} => {mineral water}",0.00826556459138782,0.311557788944724,0.0265297960271964,1.30704416939283,62
"{green tea,mineral water} => {spaghetti}",0.00826556459138782,0.266094420600858,0.0310625249966671,1.52831106349697,62
"{french fries,milk} => {chocolate}",0.00733235568590855,0.308988764044944,0.0237301693107586,1.88586226127024,55
"{french fries,milk} => {eggs}",0.00719904012798294,0.303370786516854,0.0237301693107586,1.6881188944087,54
"{french fries,milk} => {spaghetti}",0.00639914678042928,0.269662921348315,0.0237301693107586,1.5488067174837,48
"{french fries,milk} => {mineral water}",0.00826556459138782,0.348314606741573,0.0237301693107586,1.46124600960209,62
"{chocolate,milk} => {eggs}",0.00919877349686708,0.286307053941909,0.032129049460072,1.59316707093343,69
"{eggs,milk} => {chocolate}",0.00919877349686708,0.298701298701299,0.0307958938808159,1.82307440322086,69
"{chocolate,eggs} => {milk}",0.00919877349686708,0.27710843373494,0.0331955739234769,2.1384674500471,69
"{chocolate,milk} => {spaghetti}",0.0109318757499,0.340248962655602,0.032129049460072,1.95421705120955,82
"{milk,spaghetti} => {chocolate}",0.0109318757499,0.308270676691729,0.0354619384082122,1.8814795328435,82
"{chocolate,spaghetti} => {milk}",0.0109318757499,0.27891156462585,0.0391947740301293,2.1523823521178,82
"{chocolate,milk} => {mineral water}",0.013998133582189,0.435684647302905,0.032129049460072,1.82777994374669,105
"{milk,mineral water} => {chocolate}",0.013998133582189,0.291666666666667,0.0479936008532196,1.7801396799566,105
"{chocolate,mineral water} => {milk}",0.013998133582189,0.265822784810127,0.0526596453806159,2.05137521487732,105
"{eggs,milk} => {spaghetti}",0.00893214238101587,0.29004329004329,0.0307958938808159,1.66586119342628,67
"{milk,spaghetti} => {eggs}",0.00893214238101587,0.25187969924812,0.0354619384082122,1.40159467660249,67
"{eggs,milk} => {mineral water}",0.0130649246767098,0.424242424242424,0.0307958938808159,1.77977764219375,98
"{milk,mineral water} => {eggs}",0.0130649246767098,0.272222222222222,0.0479936008532196,1.51479146060007,98
"{eggs,mineral water} => {milk}",0.0130649246767098,0.256544502617801,0.050926543127583,1.97977398573675,98
"{milk,spaghetti} => {mineral water}",0.015731235835222,0.443609022556391,0.0354619384082122,1.86102420480732,118
"{milk,mineral water} => {spaghetti}",0.015731235835222,0.327777777777778,0.0479936008532196,1.88258890590437,118
"{mineral water,spaghetti} => {milk}",0.015731235835222,0.263392857142857,0.0597253699506732,2.03262327307466,118
"{chocolate,eggs} => {french fries}",0.00839888014931343,0.253012048192771,0.0331955739234769,1.48037704640716,63
"{french fries,spaghetti} => {chocolate}",0.0079989334755366,0.289855072463768,0.0275963204906013,1.76908291175812,60
"{french fries,mineral water} => {chocolate}",0.00853219570723903,0.25296442687747,0.0337288361551793,1.54392690480708,64
"{french fries,spaghetti} => {eggs}",0.0079989334755366,0.289855072463768,0.0275963204906013,1.61291016212962,60
"{french fries,spaghetti} => {mineral water}",0.0101319824023464,0.367149758454106,0.0275963204906013,1.54026305266457,76
"{french fries,mineral water} => {spaghetti}",0.0101319824023464,0.300395256916996,0.0337288361551793,1.72531762797426,76
"{chocolate,eggs} => {spaghetti}",0.0105319290761232,0.317269076305221,0.0331955739234769,1.82223226750801,79
"{chocolate,spaghetti} => {eggs}",0.0105319290761232,0.268707482993197,0.0391947740301293,1.495233553362,79
"{eggs,spaghetti} => {chocolate}",0.0105319290761232,0.288321167883212,0.0365284628716171,1.75972097664115,79
"{chocolate,eggs} => {mineral water}",0.0134648713504866,0.405622489959839,0.0331955739234769,1.70166347717492,101
"{chocolate,mineral water} => {eggs}",0.0134648713504866,0.255696202531646,0.0526596453806159,1.42283176201029,101
"{eggs,mineral water} => {chocolate}",0.0134648713504866,0.264397905759162,0.050926543127583,1.61370926859193,101
"{chocolate,spaghetti} => {mineral water}",0.0158645513931476,0.404761904761905,0.0391947740301293,1.69805315862363,119
"{chocolate,mineral water} => {spaghetti}",0.0158645513931476,0.30126582278481,0.0526596453806159,1.73031771570357,119
"{mineral water,spaghetti} => {chocolate}",0.0158645513931476,0.265625,0.0597253699506732,1.62119863710334,119
"{eggs,spaghetti} => {mineral water}",0.0142647646980403,0.39051094890511,0.0365284628716171,1.63826768889107,107
"{eggs,mineral water} => {spaghetti}",0.0142647646980403,0.280104712041885,0.050926543127583,1.60877905438452,107
